LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,4,3
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,
2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,,,,
3,5,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,
5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,
6,13,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,
7,20,2,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,0,0,,,,
8,30,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,8,0,0,0,0,,,,
9,45,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,8,0,0,0,0,,,,
10,50,5,1,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,8,0,0,0,0,,,,
11,38,8,2,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,12,0,0,0,0,,,,
12,52,8,2,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,18,0,0,0,0,,,,
13,52,8,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,18,0,0,0,0,,,,
14,54,8,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,18,0,0,0,0,,,,
15,54,12,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,18,0,0,0,0,,,,
16,54,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,18,0,0,0,0,,,,
17,42,1,1,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,2,0,2,0,18,0,0,0,0,,,,
18,46,1,2,0,0,0,0,8,0,0,0,0,0,0,2,1,0,0,0,2,0,4,0,18,0,0,0,0,,,,
19,50,1,2,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,3,0,6,0,18,0,0,0,0,,,,
20,52,1,2,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,18,0,0,0,0,,,,
21,58,1,2,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,18,0,0,0,0,,,,
22,58,2,2,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
23,58,2,3,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
24,58,2,0,1,0,0,0,3,1,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
25,58,2,1,1,0,0,0,3,1,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
