LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
26,0,2,2,1,0,0,0,5,1,2,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
27,18,2,1,1,0,0,0,8,1,2,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
28,27,3,1,1,0,0,0,8,2,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,
29,27,5,1,1,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,,,,
30,41,5,1,1,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,
31,53,9,1,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,,,,
32,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,,,,
33,2,0,0,0,1,0,0,6,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,,,,
34,3,0,0,0,1,0,0,9,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,,,,
35,5,0,0,0,1,0,0,5,1,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,,,,
36,8,0,0,0,1,0,0,8,2,0,0,0,0,0,8,1,0,0,0,4,0,0,0,0,0,0,0,0,,,,
37,13,0,0,0,1,0,0,4,1,1,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,,,,
38,20,0,0,0,1,0,0,6,1,1,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,,,,
39,30,0,0,0,1,0,0,6,2,1,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,,,,
40,30,1,0,0,1,0,0,6,1,2,0,0,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,
41,46,1,0,0,1,0,0,6,2,2,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,
42,50,1,1,0,1,0,0,6,0,0,0,0,0,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,,,,
43,56,2,2,0,1,0,0,6,0,0,0,0,0,0,2,2,2,0,0,4,0,0,0,0,0,0,0,0,,,,
44,56,3,3,0,1,0,0,6,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,,,,
45,56,5,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,,,,
46,56,8,1,1,1,0,0,6,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,,,,
