LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,3,5
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,2,0,0,0,0,0,0,3,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,2,0,0,0,0,0,0,5,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,4,0,0,0,0,0,0,8,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8,6,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,10,0,0,0,0,0,0,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10,15,0,0,0,0,0,0,8,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
11,15,0,0,0,0,0,0,2,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
12,23,0,0,0,0,0,0,2,2,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
13,35,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
14,53,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
15,41,0,2,0,0,0,0,0,0,1,0,1,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
16,47,2,2,0,0,0,0,0,1,1,0,1,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
17,0,2,3,0,0,0,0,0,0,1,0,1,1,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,
18,19,2,2,0,0,0,0,1,0,1,0,1,1,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,
19,29,3,2,0,0,0,0,2,0,1,0,1,1,0,25,0,0,0,0,0,0,4,1,0,0,0,0,0,,,,
20,23,4,3,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,,,,
21,35,4,3,0,0,0,0,14,3,2,1,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,,,,
