LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,5
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,
4,1,0,0,0,0,1,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,
5,2,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,,,,
6,4,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,,,,
7,4,1,0,0,0,1,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,,,,
8,6,0,0,0,0,2,0,44,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2,0,0,0,0,0,,,,
9,0,1,0,0,0,1,0,50,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,1,0,0,0,0,,,,
10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,1,0,0,0,0,,,,
11,1,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,3,0,0,0,0,,,,
12,2,0,0,0,0,2,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,1,0,0,0,,,,
13,2,0,0,0,0,1,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,17,0,0,1,0,0,0,,,,
14,2,0,0,0,0,1,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,8,0,1,1,0,0,0,,,,
15,3,0,0,0,0,1,0,8,0,0,0,0,0,0,32,0,0,0,0,0,0,8,1,1,1,0,0,0,,,,
16,5,0,0,0,0,1,0,12,0,0,0,0,0,0,39,1,0,0,0,0,0,8,2,1,2,0,0,0,,,,
17,5,1,0,0,0,1,0,12,0,0,0,0,0,0,39,2,1,0,0,0,0,8,3,1,2,0,0,0,,,,
18,5,0,0,0,0,2,0,12,1,0,0,0,0,0,39,2,2,0,0,0,0,8,3,1,2,0,0,0,,,,
19,5,0,0,0,0,2,0,12,1,0,0,0,0,0,39,3,3,0,0,0,0,0,3,1,2,0,0,0,,,,
20,5,1,0,0,0,2,0,12,2,0,0,0,0,0,47,3,0,1,0,0,0,0,1,4,2,0,0,0,,,,
21,5,0,0,0,0,3,0,12,2,0,0,0,0,0,47,3,1,1,0,0,0,0,1,4,3,0,0,0,,,,
22,5,0,0,0,0,2,0,0,0,0,0,0,0,0,59,6,1,1,0,0,0,0,1,4,3,0,0,0,,,,
23,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,1,4,3,0,0,0,,,,
