LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,5
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,,,,
5,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,,,,
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,,,,
7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,
8,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,,,,
9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,0,0,0,0,,,,
10,6,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,2,0,0,0,,,,
11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,
12,1,0,0,0,0,1,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,2,0,0,0,,,,
13,1,0,0,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,5,0,0,2,0,0,0,,,,
14,2,0,0,0,0,0,0,5,0,0,0,0,0,0,52,0,0,0,0,0,0,5,0,0,2,0,0,0,,,,
15,2,0,0,0,0,0,0,5,0,0,0,0,0,0,52,0,1,0,0,0,0,5,0,0,3,0,0,0,,,,
16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,1,0,0,0,0,5,0,0,3,0,0,0,,,,
17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,2,0,0,0,0,5,0,0,3,0,0,0,,,,
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,3,0,0,0,0,5,0,0,3,0,0,0,,,,
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8,0,0,3,0,0,0,,,,
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,0,0,0,,,,
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,0,0,0,0,0,0,3,0,0,0,,,,
22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,1,0,0,0,1,0,0,3,0,0,0,,,,
23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,2,0,0,3,0,0,0,,,,
24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,1,0,0,0,3,0,0,3,0,0,0,,,,
25,8,0,0,0,0,0,0,0,1,0,0,0,0,0,53,5,0,1,0,0,0,3,0,0,0,0,0,0,,,,
26,2,1,0,0,0,0,0,0,1,0,0,0,0,0,59,8,1,1,0,0,0,3,0,0,0,0,0,0,,,,
27,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,1,1,1,0,0,3,0,0,0,0,0,0,,,,
