LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,5,3
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,,,,
4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,,,,
5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,,,,
6,23,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,24,0,0,0,0,0,0,,,,
7,23,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,34,0,0,0,0,0,0,,,,
8,23,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,34,0,0,0,0,0,0,,,,
9,23,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,34,0,0,0,0,0,0,,,,
10,23,2,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,34,0,0,0,0,0,0,,,,
11,23,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,34,0,1,0,0,0,0,,,,
12,23,4,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,34,0,1,0,0,0,0,,,,
13,23,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,39,0,1,0,0,0,0,,,,
14,23,9,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,39,0,1,0,0,0,0,,,,
15,23,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,39,0,1,0,0,0,0,,,,
16,0,4,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,59,0,1,0,0,0,0,,,,
17,0,6,1,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,59,0,0,0,0,0,0,,,,
18,0,6,1,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
19,0,6,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
20,1,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
21,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
22,3,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
23,5,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
24,8,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
25,13,0,0,0,0,0,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
26,13,0,1,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
27,20,0,1,0,0,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
28,30,0,1,0,0,0,0,8,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
29,45,0,1,0,0,0,0,3,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
30,56,1,1,0,0,0,0,3,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
31,56,1,3,0,0,0,0,3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
32,56,1,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
33,61,1,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
34,49,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
35,56,0,1,0,0,0,0,7,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
36,56,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
37,44,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
38,61,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
39,61,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
40,62,1,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
41,62,1,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
